Fecha;Moneda;Saldo;TC Oficial;Saldo (BOB);Cod Agencia;Agencia;;
2023-11-01;USD;2887,00;6,86;19804,82;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;BOB;42908,80;1;42908,80;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;CLP;0,00;0,00734;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;BRL;0,00;1,36697;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;EUR;0,00;7,31827;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;ARS;0,00;0,0196;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;PEN;0,00;1,77499;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-01;USD;86553,00;6,86;593753,58;202;AGENCIA COLON;;
2023-11-01;BOB;180718,80;1;180718,80;202;AGENCIA COLON;;
2023-11-01;CLP;4450000,00;0,00734;32663,00;202;AGENCIA COLON;;
2023-11-01;BRL;10015,00;1,36697;13690,20;202;AGENCIA COLON;;
2023-11-01;EUR;4825,00;7,31827;35310,65;202;AGENCIA COLON;;
2023-11-01;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-01;AUD;0,00;4,34854;0,00;202;AGENCIA COLON;;
2023-11-01;CAD;0,00;5,01206;0,00;202;AGENCIA COLON;;
2023-11-01;PEN;5600,00;1,77499;9939,94;202;AGENCIA COLON;;
2023-11-01;GBP;0,00;8,40141;0,00;202;AGENCIA COLON;;
2023-11-01;CHF;0,00;7,69403;0,00;202;AGENCIA COLON;;
2023-11-01;NZD;0,00;4,32044;0,00;202;AGENCIA COLON;;
2023-11-01;PYG;0,00;0,00092;0,00;202;AGENCIA COLON;;
2023-11-01;USD;4136,00;6,86;28372,96;210;AGENCIA 6 DE MARZO;;
2023-11-01;BOB;96246,40;1;96246,40;210;AGENCIA 6 DE MARZO;;
2023-11-01;CLP;0,00;0,00734;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-01;BRL;0,00;1,36697;0,00;210;AGENCIA 6 DE MARZO;;
